Accuracy: 0.3433333333333333
Accuracy: 0.37373737373737376

Starting epoch 0
tensor(1.9474, grad_fn=<NllLossBackward>)
tensor(1.8170, grad_fn=<NllLossBackward>)
tensor(0.7366, grad_fn=<NllLossBackward>)
tensor(1.8342, grad_fn=<NllLossBackward>)
tensor(0.9316, grad_fn=<NllLossBackward>)
tensor(1.1336, grad_fn=<NllLossBackward>)
tensor(0.9241, grad_fn=<NllLossBackward>)
tensor(0.9418, grad_fn=<NllLossBackward>)
tensor(0.7832, grad_fn=<NllLossBackward>)
tensor(1.0962, grad_fn=<NllLossBackward>)
tensor(0.8727, grad_fn=<NllLossBackward>)
tensor(0.9730, grad_fn=<NllLossBackward>)
tensor(0.7284, grad_fn=<NllLossBackward>)
tensor(1.2030, grad_fn=<NllLossBackward>)
tensor(0.8983, grad_fn=<NllLossBackward>)
tensor(0.9902, grad_fn=<NllLossBackward>)
tensor(1.4740, grad_fn=<NllLossBackward>)
tensor(0.7225, grad_fn=<NllLossBackward>)
tensor(1.0536, grad_fn=<NllLossBackward>)
tensor(1.6655, grad_fn=<NllLossBackward>)
tensor(0.9885, grad_fn=<NllLossBackward>)
tensor(0.8108, grad_fn=<NllLossBackward>)
tensor(1.3791, grad_fn=<NllLossBackward>)
tensor(1.2183, grad_fn=<NllLossBackward>)
tensor(0.6629, grad_fn=<NllLossBackward>)
tensor(1.1945, grad_fn=<NllLossBackward>)
tensor(1.1706, grad_fn=<NllLossBackward>)
tensor(0.5967, grad_fn=<NllLossBackward>)
tensor(0.5811, grad_fn=<NllLossBackward>)
tensor(1.0920, grad_fn=<NllLossBackward>)
tensor(0.5296, grad_fn=<NllLossBackward>)
tensor(2.9201, grad_fn=<NllLossBackward>)
tensor(0.5051, grad_fn=<NllLossBackward>)
tensor(0.4798, grad_fn=<NllLossBackward>)
tensor(0.4615, grad_fn=<NllLossBackward>)
tensor(1.2274, grad_fn=<NllLossBackward>)
tensor(0.4128, grad_fn=<NllLossBackward>)
tensor(2.3369, grad_fn=<NllLossBackward>)
tensor(0.3779, grad_fn=<NllLossBackward>)
tensor(1.5423, grad_fn=<NllLossBackward>)
tensor(1.2168, grad_fn=<NllLossBackward>)
tensor(0.4182, grad_fn=<NllLossBackward>)
tensor(1.1728, grad_fn=<NllLossBackward>)
tensor(0.4525, grad_fn=<NllLossBackward>)
tensor(1.2840, grad_fn=<NllLossBackward>)
tensor(1.1740, grad_fn=<NllLossBackward>)
tensor(1.6546, grad_fn=<NllLossBackward>)
tensor(0.4593, grad_fn=<NllLossBackward>)
tensor(1.0198, grad_fn=<NllLossBackward>)
tensor(1.1346, grad_fn=<NllLossBackward>)
Accuracy: 0.52
Accuracy: 0.40404040404040403

Starting epoch 1
tensor(0.5011, grad_fn=<NllLossBackward>)
tensor(0.4928, grad_fn=<NllLossBackward>)
tensor(1.3414, grad_fn=<NllLossBackward>)
tensor(0.9138, grad_fn=<NllLossBackward>)
tensor(1.0697, grad_fn=<NllLossBackward>)
tensor(1.3684, grad_fn=<NllLossBackward>)
tensor(1.1294, grad_fn=<NllLossBackward>)
tensor(1.5321, grad_fn=<NllLossBackward>)
tensor(1.2259, grad_fn=<NllLossBackward>)
tensor(0.4972, grad_fn=<NllLossBackward>)
tensor(1.1261, grad_fn=<NllLossBackward>)
tensor(1.3505, grad_fn=<NllLossBackward>)
tensor(0.9716, grad_fn=<NllLossBackward>)
tensor(0.9925, grad_fn=<NllLossBackward>)
tensor(1.0097, grad_fn=<NllLossBackward>)
tensor(1.1019, grad_fn=<NllLossBackward>)
tensor(1.1599, grad_fn=<NllLossBackward>)
tensor(1.1919, grad_fn=<NllLossBackward>)
tensor(1.1297, grad_fn=<NllLossBackward>)
tensor(0.8923, grad_fn=<NllLossBackward>)
tensor(1.2325, grad_fn=<NllLossBackward>)
tensor(0.8494, grad_fn=<NllLossBackward>)
tensor(0.8213, grad_fn=<NllLossBackward>)
tensor(1.1117, grad_fn=<NllLossBackward>)
tensor(1.1213, grad_fn=<NllLossBackward>)
tensor(0.9926, grad_fn=<NllLossBackward>)
tensor(1.1500, grad_fn=<NllLossBackward>)
tensor(0.5852, grad_fn=<NllLossBackward>)
tensor(0.8768, grad_fn=<NllLossBackward>)
tensor(0.8116, grad_fn=<NllLossBackward>)
tensor(0.9037, grad_fn=<NllLossBackward>)
tensor(0.8828, grad_fn=<NllLossBackward>)
tensor(0.8703, grad_fn=<NllLossBackward>)
tensor(1.2889, grad_fn=<NllLossBackward>)
tensor(1.0007, grad_fn=<NllLossBackward>)
tensor(0.9209, grad_fn=<NllLossBackward>)
tensor(0.7888, grad_fn=<NllLossBackward>)
tensor(0.6945, grad_fn=<NllLossBackward>)
tensor(0.4465, grad_fn=<NllLossBackward>)
tensor(0.3301, grad_fn=<NllLossBackward>)
tensor(1.8302, grad_fn=<NllLossBackward>)
tensor(1.3264, grad_fn=<NllLossBackward>)
tensor(0.2828, grad_fn=<NllLossBackward>)
tensor(0.8014, grad_fn=<NllLossBackward>)
tensor(0.2455, grad_fn=<NllLossBackward>)
tensor(1.5384, grad_fn=<NllLossBackward>)
tensor(2.7158, grad_fn=<NllLossBackward>)
tensor(0.2630, grad_fn=<NllLossBackward>)
tensor(0.9033, grad_fn=<NllLossBackward>)
tensor(0.4096, grad_fn=<NllLossBackward>)
tensor(0.7621, grad_fn=<NllLossBackward>)
tensor(1.2582, grad_fn=<NllLossBackward>)
